location;ownership;price;real_estate;size;location_first;location_last;crawled
Odelzhausen, Dachau (Kreis);Kauf;789000;Haus;154,9;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Schwabhausen, Dachau (Kreis);Kauf;569000;Haus;128;Schwabhausen;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;449000;Haus;116,4;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Petershausen, Dachau (Kreis);Kauf;519000;Haus;145,43;Petershausen;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;659000;Haus;115;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;689000;Haus;135;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Erdweg, Dachau (Kreis);Kauf;535000;Haus;116;Erdweg;Dachau (Kreis);2018-04-15 17:03:44
Karlsfeld, Dachau (Kreis);Kauf;785000;Haus;133;Karlsfeld;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;450000;Haus;114;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;967400;Haus;147;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;634500;Haus;135;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Odelzhausen, Dachau (Kreis);Kauf;1248000;Haus;200;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;590000;Haus;133;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Haimhausen, Dachau (Kreis);Kauf;1750000;Haus;226;Haimhausen;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;893000;Haus;135;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;1003000;Haus;150;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;690000;Haus;130;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;2850000;Haus;710;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;683700;Haus;121;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;790000;Haus;231;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;849000;Haus;178,64;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;685400;Haus;149;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Odelzhausen, Dachau (Kreis);Kauf;598800;Haus;149;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;739000;Haus;170;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;598500;Haus;133;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;879000;Haus;150;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;897000;Haus;150;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Petershausen, Dachau (Kreis);Kauf;519000;Haus;110,11;Petershausen;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;850000;Haus;159;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;959000;Haus;148,18;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;779000;Haus;126,28;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Pfaffenhofen an der Glonn, Dachau (Kreis);Kauf;531000;Haus;110,78;Pfaffenhofen an der Glonn;Dachau (Kreis);2018-04-15 17:03:44
Pfaffenhofen an der Glonn, Dachau (Kreis);Kauf;530000;Haus;118,32;Pfaffenhofen an der Glonn;Dachau (Kreis);2018-04-15 17:03:44
Pfaffenhofen an der Glonn, Dachau (Kreis);Kauf;530000;Haus;120,11;Pfaffenhofen an der Glonn;Dachau (Kreis);2018-04-15 17:03:44
Hebertshausen, Dachau (Kreis);Kauf;725000;Haus;150;Hebertshausen;Dachau (Kreis);2018-04-15 17:03:44
Erdweg, Dachau (Kreis);Kauf;799500;Haus;142,69;Erdweg;Dachau (Kreis);2018-04-15 17:03:44
Hilgertshausen-Tandern, Dachau (Kreis);Kauf;750000;Haus;288,55;Hilgertshausen-Tandern;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;720000;Haus;136;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;622300;Haus;121;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;668800;Haus;121;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Karlsfeld, Dachau (Kreis);Kauf;795000;Haus;150;Karlsfeld;Dachau (Kreis);2018-04-15 17:03:44
Erdweg, Dachau (Kreis);Kauf;620400;Haus;133;Erdweg;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;675000;Haus;120;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;699500;Haus;120;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Odelzhausen, Dachau (Kreis);Kauf;550000;Haus;162,41;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Odelzhausen, Dachau (Kreis);Kauf;529000;Haus;134,93;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Odelzhausen, Dachau (Kreis);Kauf;538000;Haus;137,94;Odelzhausen;Dachau (Kreis);2018-04-15 17:03:44
Weichs, Dachau (Kreis);Kauf;575000;Haus;200;Weichs;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;965000;Haus;160;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;927000;Haus;140;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Kauf;979620;Grundstueck;3378;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Eichenau, Fürstenfeldbruck (Kreis);Kauf;1050000;Grundstueck;858;Eichenau;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;1850000;Grundstueck;1356;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;2490000;Grundstueck;867;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Puchheim, Fürstenfeldbruck (Kreis);Kauf;150000;Grundstueck;3342;Puchheim;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Kauf;975000;Grundstueck;709;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;999000;Grundstueck;701;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;650000;Grundstueck;500;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;1200000;Grundstueck;992;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Alling, Fürstenfeldbruck (Kreis);Kauf;830000;Grundstueck;1147;Alling;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Lindenstr. 0, Adelshofen, Fürstenfeldbruck (Kreis);Kauf;320000;Grundstueck;619;Lindenstr. 0;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Puchheim, Fürstenfeldbruck (Kreis);Kauf;888000;Grundstueck;720;Puchheim;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Germering, Fürstenfeldbruck (Kreis);Kauf;2018000;Grundstueck;1441;Germering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Eichenau, Fürstenfeldbruck (Kreis);Kauf;1050000;Grundstueck;781;Eichenau;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Jesenwang, Fürstenfeldbruck (Kreis);Kauf;560000;Grundstueck;700;Jesenwang;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Gröbenzell, Fürstenfeldbruck (Kreis);Kauf;820000;Grundstueck;536;Gröbenzell;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Oberschweinbach, Fürstenfeldbruck (Kreis);Kauf;;Grundstueck;488;Oberschweinbach;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Puchheim, Fürstenfeldbruck (Kreis);Kauf;749000;Grundstueck;591;Puchheim;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Kottgeisering, Fürstenfeldbruck (Kreis);Kauf;750000;Grundstueck;570;Kottgeisering;Fürstenfeldbruck (Kreis);2018-04-15 17:03:44
Erdweg, Dachau (Kreis);Kauf;;Grundstueck;422;Erdweg;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;;Grundstueck;221;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;495000;Grundstueck;695;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Bergkirchen, Dachau (Kreis);Kauf;340800;Grundstueck;355;Bergkirchen;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;639000;Grundstueck;639;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;731250;Grundstueck;650;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;;Grundstueck;3800;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Karlsfeld, Dachau (Kreis);Kauf;1180000;Grundstueck;953;Karlsfeld;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;540000;Grundstueck;514;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;790000;Grundstueck;980;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;337500;Grundstueck;323;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Altomünster, Dachau (Kreis);Kauf;332550;Grundstueck;318;Altomünster;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;2520000;Grundstueck;360;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Vierkirchen, Dachau (Kreis);Kauf;;Grundstueck;670;Vierkirchen;Dachau (Kreis);2018-04-15 17:03:44
Dachau, Dachau (Kreis);Kauf;1050000;Grundstueck;737;Dachau;Dachau (Kreis);2018-04-15 17:03:44
Röhrmoos, Dachau (Kreis);Kauf;;Grundstueck;1127;Röhrmoos;Dachau (Kreis);2018-04-15 17:03:44
Karlsfeld, Dachau (Kreis);Kauf;1089000;Grundstueck;2078;Karlsfeld;Dachau (Kreis);2018-04-15 17:03:44
Karlsfeld, Dachau (Kreis);Kauf;525000;Grundstueck;1000;Karlsfeld;Dachau (Kreis);2018-04-15 17:03:44
Markt Indersdorf, Dachau (Kreis);Kauf;350000;Grundstueck;452;Markt Indersdorf;Dachau (Kreis);2018-04-15 17:03:44
