price;size;location;real_estate;ownership;location_first;location_last;crawled
996000;149,1;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
848000;273;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf;Althegnenberg;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1192416;372;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1290000;179;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
945000;95,5;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Wiesenstraße 21;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1023000;149,7;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
620000;92,19;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
699000;150;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1299000;250;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf;Maisach;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
899500;122,00;Keltenweg 5, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Keltenweg 5;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
888600;120,00;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Möslstraße 11;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
999000;342;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1298000;177;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
752800;554;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf;Egenhofen;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1779000;241;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
765000;135;Edelweißstr. 167, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Edelweißstr. 167;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1389000;187;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
1199000;160;Bürgermeister-Müller-Strasse 24, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Bürgermeister-Müller-Strasse 24;Fürstenfeldbruck (Kreis);2018-12-30 10:28:22
