price;size;location;real_estate;ownership;location_first;location_last;crawled
6900000;750;Feldafing, Starnberg (Kreis);Haus;Kauf;Feldafing;Starnberg (Kreis);20181230_110114
1195000;185;Weßling, Starnberg (Kreis);Haus;Kauf;Weßling;Starnberg (Kreis);20181230_110114
6800000;385;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
349000;34,00;Am Fendlbach 6, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Am Fendlbach 6;Starnberg (Kreis);20181230_110114
1865000;229;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
299500;51,00;Andechs, Starnberg (Kreis);Haus;Kauf;Andechs;Starnberg (Kreis);20181230_110114
950000;155,16;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1790000;254;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
2250000;200;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
762000;155;Andechs, Starnberg (Kreis);Haus;Kauf;Andechs;Starnberg (Kreis);20181230_110114
1250000;171,53;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
1650000;270;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1484699;575;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
6800000;380;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
1395000;161;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
2195000;203;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2450000;340;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
1790000;178;Hechendorfer Str. 142, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Hechendorfer Str. 142;Starnberg (Kreis);20181230_110114
950;33;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2490000;320;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
860000;118;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
1150000;146;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
162;5;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
3650000;220;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
1290000;188;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
995000;215;Am Waldhang 9, Gilching, Starnberg (Kreis);Haus;Kauf;Am Waldhang 9;Starnberg (Kreis);20181230_110114
1870000;234;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
1610000;256,6;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
999000;177;Pütrichstraße 18, Gauting, Starnberg (Kreis);Haus;Kauf;Pütrichstraße 18;Starnberg (Kreis);20181230_110114
9200000;520;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
3089000;330;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1570000;249;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1020000;120;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1539699;644;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
1655000;205;Wörthsee, Starnberg (Kreis);Haus;Kauf;Wörthsee;Starnberg (Kreis);20181230_110114
1895000;200;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
850000;210;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
725000;136,42;Andechs, Starnberg (Kreis);Haus;Kauf;Andechs;Starnberg (Kreis);20181230_110114
750000;155,00;Kesselweg 2, Andechs, Starnberg (Kreis);Haus;Kauf;Kesselweg 2;Starnberg (Kreis);20181230_110114
3650000;210;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
3980000;500;Andechs, Starnberg (Kreis);Haus;Kauf;Andechs;Starnberg (Kreis);20181230_110114
886330;140,29;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
765000;111;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1099000;164;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
2280000;263;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1220000;156;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
830000;177;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
398900;54,20;Margaretenstraße 28, Krailling, Starnberg (Kreis);Haus;Kauf;Margaretenstraße 28;Starnberg (Kreis);20181230_110114
750000;140;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
980000;130;Margaretenstr. 4d, Krailling, Starnberg (Kreis);Haus;Kauf;Margaretenstr. 4d;Starnberg (Kreis);20181230_110114
1390000;607;Hauserstraße 40, Gauting, Starnberg (Kreis);Haus;Kauf;Hauserstraße 40;Starnberg (Kreis);20181230_110114
8200000;650;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
1585000;204;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
203;7;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
1250000;147;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
906330;158,5;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
734000;114;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1050000;170;Forstweg 4, Gauting, Starnberg (Kreis);Haus;Kauf;Forstweg 4;Starnberg (Kreis);20181230_110114
1515000;280;Hechendorfer Straße 130, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Hechendorfer Straße 130;Starnberg (Kreis);20181230_110114
1950000;263;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1030000;166;Pöcking, Starnberg (Kreis);Haus;Kauf;Pöcking;Starnberg (Kreis);20181230_110114
790000;146;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1490000;192;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
890000;123;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1650000;229;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
1198000;140,59;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2690000;387;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
1150000;286,37;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1550000;215;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
2600000;160;Pöcking, Starnberg (Kreis);Haus;Kauf;Pöcking;Starnberg (Kreis);20181230_110114
930000;127;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
420000;240;Schloßbergstrasse 2, Starnberg, Starnberg (Kreis);Haus;Kauf;Schloßbergstrasse 2;Starnberg (Kreis);20181230_110114
270000;72;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
795000;131;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
897000;107;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1100000;180;Inning am Ammersee, Starnberg (Kreis);Haus;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
639000;152;Drößlinger Straße 5, Andechs, Starnberg (Kreis);Haus;Kauf;Drößlinger Straße 5;Starnberg (Kreis);20181230_110114
949000;165;Pöcking, Starnberg (Kreis);Haus;Kauf;Pöcking;Starnberg (Kreis);20181230_110114
948000;185,46;Seefeld, Starnberg (Kreis);Haus;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
1150000;150;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1525000;800;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
2249000;230;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1275000;260;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1275000;260;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
3249500;435;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1249000;160;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2200000;250,2;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1300000;230;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1280000;175;Weßling, Starnberg (Kreis);Haus;Kauf;Weßling;Starnberg (Kreis);20181230_110114
1150000;164,1;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
929000;134,31;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1034000;131,77;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
890000;180,54;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
1245000;170;Eduard Kandl Str. 32, Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Eduard Kandl Str. 32;Starnberg (Kreis);20181230_110114
1280000;199;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
849500;149,36;Steinrinnenweg 0, Andechs, Starnberg (Kreis);Haus;Kauf;Steinrinnenweg 0;Starnberg (Kreis);20181230_110114
895000;128;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2500000;252;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1400000;186,73;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1330000;193,2;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1300000;187,11;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1240000;193,18;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1300000;193,33;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1140000;190,73;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
685000;120;Inning am Ammersee, Starnberg (Kreis);Haus;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
4650000;353;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1870000;234;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
1295000;147;Amselweg 5, Wörthsee, Starnberg (Kreis);Haus;Kauf;Amselweg 5;Starnberg (Kreis);20181230_110114
1350000;189,48;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
698900;291;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1540000;157;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
1790000;207;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
258;8;Inning am Ammersee, Starnberg (Kreis);Haus;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
769000;124;Andechs, Starnberg (Kreis);Haus;Kauf;Andechs;Starnberg (Kreis);20181230_110114
1295000;220;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2600000;292,9;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1190000;293;Tutzing, Starnberg (Kreis);Haus;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
2249000;230;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
2980000;296;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
997000;148,21;Krailling, Starnberg (Kreis);Haus;Kauf;Krailling;Starnberg (Kreis);20181230_110114
649000;106;Görbelmoosweg 19, Gilching, Starnberg (Kreis);Haus;Kauf;Görbelmoosweg 19;Starnberg (Kreis);20181230_110114
1190000;206,07;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
5900000;530;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
995000;590;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1095000;135;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1145000;140;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1100000;290;Pilsenseestraße 1, Seefeld, Starnberg (Kreis);Haus;Kauf;Pilsenseestraße 1;Starnberg (Kreis);20181230_110114
5600000;120;Inning am Ammersee, Starnberg (Kreis);Haus;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
1200000;120,77;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1150000;156;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2400000;245;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1050000;440;Herrsching am Ammersee, Starnberg (Kreis);Haus;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
1060000;157;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1395000;200;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1124998,79;480;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
1199000;141;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1099000;151;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
899000;143;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
880000;209;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
2040000;260;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
685000;152;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
675000;182;Gilching, Starnberg (Kreis);Haus;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1975000;250;Berg, Starnberg (Kreis);Haus;Kauf;Berg;Starnberg (Kreis);20181230_110114
680000;122,66;Wörthsee, Starnberg (Kreis);Haus;Kauf;Wörthsee;Starnberg (Kreis);20181230_110114
1790000;250;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1690000;212;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1334740;633;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
799900;152;Am Waldhang 31, Gilching, Starnberg (Kreis);Haus;Kauf;Am Waldhang 31;Starnberg (Kreis);20181230_110114
1680000;195;Starnberg, Starnberg (Kreis);Haus;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1850000;270;Gauting, Starnberg (Kreis);Haus;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1390000;607;Hauserstraße 40, Gauting, Starnberg (Kreis);Haus;Kauf;Hauserstraße 40;Starnberg (Kreis);20181230_110114
1800000;250;Am Kranzlberg 6, Berg, Starnberg (Kreis);Haus;Kauf;Am Kranzlberg 6;Starnberg (Kreis);20181230_110114
1290000;216;Pähl, Weilheim-Schongau (Kreis);Haus;Kauf;Pähl;Weilheim-Schongau (Kreis);20181230_110114
917000;137,63;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);20181230_110114
1125000;212,52;Haar, München (Kreis);Haus;Kauf;Haar;München (Kreis);20181230_110114
2200000;1535;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1100000;960;Herrsching am Ammersee, Starnberg (Kreis);Grundstueck;Kauf;Herrsching am Ammersee;Starnberg (Kreis);20181230_110114
;6000;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1140000;626;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1140000;625;Feldafing, Starnberg (Kreis);Grundstueck;Kauf;Feldafing;Starnberg (Kreis);20181230_110114
1795000;1056;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
3590000;2111;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
;5000;Tutzing, Starnberg (Kreis);Grundstueck;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
6200000;5053;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
5200000;3025;Wörthsee, Starnberg (Kreis);Grundstueck;Kauf;Wörthsee;Starnberg (Kreis);20181230_110114
;1747;Rudolf-von-Hirsch-Straße 7, Krailling, Starnberg (Kreis);Grundstueck;Kauf;Rudolf-von-Hirsch-Straße 7;Starnberg (Kreis);20181230_110114
;7855;Feldafing, Starnberg (Kreis);Grundstueck;Kauf;Feldafing;Starnberg (Kreis);20181230_110114
895000;569;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
800000;650;Weßling, Starnberg (Kreis);Grundstueck;Kauf;Weßling;Starnberg (Kreis);20181230_110114
960000;700;Gauting, Starnberg (Kreis);Grundstueck;Kauf;Gauting;Starnberg (Kreis);20181230_110114
1790000;3549;Hechendorfer Str. 142, Herrsching am Ammersee, Starnberg (Kreis);Grundstueck;Kauf;Hechendorfer Str. 142;Starnberg (Kreis);20181230_110114
1550000;992;Andechs, Starnberg (Kreis);Grundstueck;Kauf;Andechs;Starnberg (Kreis);20181230_110114
249000;22476;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
;1005;Seefeld, Starnberg (Kreis);Grundstueck;Kauf;Seefeld;Starnberg (Kreis);20181230_110114
5500000;4172;Zum Ministerhügel 14, Pöcking, Starnberg (Kreis);Grundstueck;Kauf;Zum Ministerhügel 14;Starnberg (Kreis);20181230_110114
1760000;1067;Gauting, Starnberg (Kreis);Grundstueck;Kauf;Gauting;Starnberg (Kreis);20181230_110114
790000;2278;Andechs, Starnberg (Kreis);Grundstueck;Kauf;Andechs;Starnberg (Kreis);20181230_110114
1860000;1179;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
2290000;1542;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
799000;897;Andechs, Starnberg (Kreis);Grundstueck;Kauf;Andechs;Starnberg (Kreis);20181230_110114
840000;534;Gauting, Starnberg (Kreis);Grundstueck;Kauf;Gauting;Starnberg (Kreis);20181230_110114
995000;533;Gauting, Starnberg (Kreis);Grundstueck;Kauf;Gauting;Starnberg (Kreis);20181230_110114
5600000;4000;Inning am Ammersee, Starnberg (Kreis);Grundstueck;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
3500000;1750;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
980000;550;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
;522;Lärchenweg NN, Pöcking, Starnberg (Kreis);Grundstueck;Kauf;Lärchenweg NN;Starnberg (Kreis);20181230_110114
;780;Tutzing, Starnberg (Kreis);Grundstueck;Kauf;Tutzing;Starnberg (Kreis);20181230_110114
2400000;1888;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1975000;1219;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
;975;Gilching, Starnberg (Kreis);Grundstueck;Kauf;Gilching;Starnberg (Kreis);20181230_110114
1280000;1346;Inning am Ammersee, Starnberg (Kreis);Grundstueck;Kauf;Inning am Ammersee;Starnberg (Kreis);20181230_110114
;1500;Berg, Starnberg (Kreis);Grundstueck;Kauf;Berg;Starnberg (Kreis);20181230_110114
;1500;Starnberg, Starnberg (Kreis);Grundstueck;Kauf;Starnberg;Starnberg (Kreis);20181230_110114
1850000;551;Kirchplatz 4, Pullach im Isartal, München (Kreis);Grundstueck;Kauf;Kirchplatz 4;München (Kreis);20181230_110114
1600000;810;Haar, München (Kreis);Grundstueck;Kauf;Haar;München (Kreis);20181230_110114
5200000;6850;Dießen am Ammersee, Landsberg am Lech (Kreis);Grundstueck;Kauf;Dießen am Ammersee;Landsberg am Lech (Kreis);20181230_110114
