price;size;location;real_estate;ownership
748.000 €;122 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.125.000 €;300 m²;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
1.125.000 €;191,55 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
1.545.000 €;221,56 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
999.000 €;180 m²;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf
740.000 €;132 m²;Eichendorffweg 3, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
830.000 €;180 m²;Schöngeising, Fürstenfeldbruck (Kreis);Haus;Kauf
830.000 €;135 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
895.000 €;203 m²;Am Pöglschlag 3, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf
760.000 €;143 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
890.000 €;156,17 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
990.000 €;156 m²;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf
1.280.000 €;170 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
698.000 €;103 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
585.000 €;84,2 m²;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf
917.000 €;137,63 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
750.000 €;148 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
1.172.362 €;500 m²;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf
731.000 €;137 m²;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf
500.000 €;122,41 m²;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf
760.000 €;300 m²;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
724.520 €;554 m²;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf
580.000 €;150 m²;Krokusstraße 25, Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf
945.000 €;95,5 m²;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf
795.000 €;140 m²;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf
