price;size;location;real_estate;ownership;location_first;location_last;crawled
996000;149,1;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
848000;273;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf;Althegnenberg;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1192416;372;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1290000;179;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
945000;95,5;Wiesenstraße 21, Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Wiesenstraße 21;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1023000;149,7;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
620000;92,19;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
699000;150;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1299000;250;Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf;Maisach;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
899500;122,00;Keltenweg 5, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Keltenweg 5;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
888600;120,00;Möslstraße 11, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Möslstraße 11;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
999000;342;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1298000;177;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
752800;554;Egenhofen, Fürstenfeldbruck (Kreis);Haus;Kauf;Egenhofen;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1779000;241;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
765000;135;Edelweißstr. 167, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Edelweißstr. 167;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1389000;187;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1199000;160;Bürgermeister-Müller-Strasse 24, Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Bürgermeister-Müller-Strasse 24;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
774500;140;Grafrath, Fürstenfeldbruck (Kreis);Haus;Kauf;Grafrath;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1100000;162;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
643000;384;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf;Moorenweis;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
870000;100;Siedlerstr. 21, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Siedlerstr. 21;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1450000;367;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf;Mammendorf;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
759000;132,02;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf;Emmering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
710000;108;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1275000;529;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
975000;157;Wegacker 3, Maisach, Fürstenfeldbruck (Kreis);Haus;Kauf;Wegacker 3;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
987630;512;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Eichenau;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
996000;149,10;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
749000;108,7;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
944000;162;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
750000;143;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
510000;85,3;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
765000;151;Lohengrinstraße 21, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Lohengrinstraße 21;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1192416;372;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1980000;367;Pucher Str. 32, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Pucher Str. 32;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
980000;220,56;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
698000;133;Mammendorf, Fürstenfeldbruck (Kreis);Haus;Kauf;Mammendorf;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
849900;168,8;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
475000;107;Althegnenberg, Fürstenfeldbruck (Kreis);Haus;Kauf;Althegnenberg;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
695000;105;Türkenfeld, Fürstenfeldbruck (Kreis);Haus;Kauf;Türkenfeld;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
784000;98,32;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
715000;120;Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Olching;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
725000;118,91;Lärchenstraße 14, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Lärchenstraße 14;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1029000;125;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Eichenau;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
553000;173;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf;Moorenweis;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
480000;125;Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf;Moorenweis;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
645000;128;Emmering, Fürstenfeldbruck (Kreis);Haus;Kauf;Emmering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
890000;162;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1399000;218;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
698000;275;Lerchenstr. 1, Moorenweis, Fürstenfeldbruck (Kreis);Haus;Kauf;Lerchenstr. 1;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
920000;129;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
540000;89,06;Eichenau, Fürstenfeldbruck (Kreis);Haus;Kauf;Eichenau;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
582000;120;Kreuzstraße XXX, Olching, Fürstenfeldbruck (Kreis);Haus;Kauf;Kreuzstraße XXX;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
850000;191;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1850000;200;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1595000;221,56;Birkenweg 25, Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Birkenweg 25;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
748000;122;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1125000;300;Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Fürstenfeldbruck;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1125000;191,55;Gröbenzell, Fürstenfeldbruck (Kreis);Haus;Kauf;Gröbenzell;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
1545000;221,56;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
999000;180;Germering, Fürstenfeldbruck (Kreis);Haus;Kauf;Germering;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
740000;132;Eichendorffweg 3, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Eichendorffweg 3;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
830000;180;Schöngeising, Fürstenfeldbruck (Kreis);Haus;Kauf;Schöngeising;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
830000;135;Puchheim, Fürstenfeldbruck (Kreis);Haus;Kauf;Puchheim;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
895000;203;Am Pöglschlag 3, Fürstenfeldbruck, Fürstenfeldbruck (Kreis);Haus;Kauf;Am Pöglschlag 3;Fürstenfeldbruck (Kreis);2018-12-30 08:30:33
